                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.95241,                 2.9007,                 1.0632,                0.83862,                0.36531,                0.58371,                0.44887,                0.92584,                  2.747,                 1.1304,               0.067289,             0.00033041,             0.00033041
                      1,                0.64527,                0.51886,                0.91687,                0.92787,                 0.8449,                0.92871,                0.72878,                0.82383,                0.79121,                  1.061,               0.034285,              0.0006597,              0.0006597
                      2,                0.61921,                0.48723,                0.89579,                0.92116,                0.83436,                0.90673,                0.72976,                0.80472,                0.70065,                 1.0374,              0.0012653,             0.00097292,             0.00097292
                      3,                  0.578,                0.43532,                0.88526,                0.94525,                 0.8875,                0.95435,                0.75772,                0.82008,                0.63461,                 1.0333,             0.00094605,             0.00094605,             0.00094605
                      4,                0.55389,                0.40707,                0.87326,                0.94172,                0.87324,                0.94302,                0.77635,                0.72338,                0.57342,                 1.0068,             0.00094605,             0.00094605,             0.00094605
                      5,                0.51757,                0.37305,                0.86606,                0.96602,                0.92422,                0.96588,                0.78485,                0.71881,                0.53207,                 1.0028,             0.00090546,             0.00090546,             0.00090546
                      6,                0.49246,                0.35003,                0.86058,                0.94606,                0.92475,                0.97717,                 0.8049,                0.70137,                0.45851,                0.97978,             0.00085502,             0.00085502,             0.00085502
                      7,                0.46831,                0.33502,                0.84833,                0.96505,                0.96617,                0.99049,                0.82967,                0.65222,                0.38583,                0.94822,             0.00079595,             0.00079595,             0.00079595
                      8,                0.44118,                0.31599,                 0.8409,                0.96727,                0.96073,                0.98718,                0.84462,                0.64336,                 0.4023,                0.94341,             0.00072973,             0.00072973,             0.00072973
                      9,                0.41975,                0.30176,                0.83929,                0.98387,                  0.942,                0.98407,                0.83902,                 0.6252,                0.38849,                0.95326,             0.00065796,             0.00065796,             0.00065796
                     10,                0.37279,                0.26058,                0.81416,                0.97176,                0.96776,                 0.9869,                0.84405,                0.62793,                0.35017,                0.95791,             0.00058244,             0.00058244,             0.00058244
                     11,                0.36678,                0.25628,                 0.8155,                0.97944,                0.95914,                0.98862,                0.85662,                0.60839,                0.35591,                0.94734,               0.000505,               0.000505,               0.000505
                     12,                0.34273,                0.23849,                 0.8079,                0.97591,                0.96837,                0.99166,                 0.8522,                 0.6023,                0.33023,                0.94272,             0.00042756,             0.00042756,             0.00042756
                     13,                0.32809,                0.22689,                0.80744,                0.98988,                0.98111,                0.99403,                0.87747,                0.58312,                  0.303,                0.92921,             0.00035204,             0.00035204,             0.00035204
                     14,                0.30855,                 0.2088,                0.79546,                0.98403,                0.97451,                0.99322,                0.86803,                0.60155,                0.31309,                0.94388,             0.00028027,             0.00028027,             0.00028027
                     15,                0.28992,                0.19836,                0.78991,                0.98545,                  0.982,                0.99373,                0.87773,                  0.579,                0.29568,                0.93558,             0.00021405,             0.00021405,             0.00021405
                     16,                0.27416,                0.18976,                0.77851,                0.99195,                0.97497,                0.99404,                0.88537,                0.55499,                0.28611,                0.92379,             0.00015498,             0.00015498,             0.00015498
                     17,                0.26773,                0.18141,                0.78189,                0.99056,                0.97759,                0.99415,                0.88481,                0.56763,                 0.2801,                0.93089,             0.00010454,             0.00010454,             0.00010454
                     18,                0.26434,                0.17675,                0.78519,                0.99234,                0.98462,                0.99435,                0.88947,                0.55705,                0.26881,                0.92501,             6.3952e-05,             6.3952e-05,             6.3952e-05
                     19,                 0.2444,                 0.1676,                0.77817,                0.99012,                0.98199,                0.99432,                0.88793,                0.55438,                0.26692,                0.92342,             3.4227e-05,             3.4227e-05,             3.4227e-05
