                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 0.9309,                 1.3184,                 2.3961,                 1.0164,                0.88477,                0.66696,                0.75464,                0.58016,                 0.6748,                0.50508,                0.49685,                0.23024,                0.87212,                 3.8962,                 1.6353,                 1.0871,               0.067219,             0.00033113,             0.00033113
                      1,                0.64121,                0.83941,                0.51751,                 0.8942,                0.95558,                0.87083,                0.94004,                0.74804,                0.74004,                0.58787,                0.56996,                0.24563,                0.76948,                  4.815,                0.72931,                 1.0213,               0.034214,             0.00066041,             0.00066041
                      2,                0.61796,                0.80092,                0.47185,                0.88624,                0.96219,                0.88339,                0.95938,                0.76216,                0.94175,                0.85946,                0.92317,                0.61596,                0.78763,                 1.6515,                0.57643,                 1.0334,              0.0011944,             0.00097362,             0.00097362
                      3,                0.57296,                0.73921,                0.42356,                0.86767,                0.96718,                0.89411,                0.95531,                0.77177,                0.95427,                0.88225,                0.93553,                0.66106,                0.75895,                 1.5828,                0.58082,                  1.017,             0.00094605,             0.00094605,             0.00094605
                      4,                0.53363,                0.73617,                0.38941,                0.85223,                0.96674,                0.91938,                0.95667,                0.79635,                0.95886,                 0.9113,                0.94561,                0.68178,                0.66599,                 1.4539,                0.52715,                0.97111,             0.00094605,             0.00094605,             0.00094605
                      5,                0.50516,                0.68524,                0.36105,                0.84911,                0.98162,                0.93717,                0.97141,                0.80444,                0.97246,                0.92794,                  0.957,                0.70545,                 0.6734,                 1.3694,                0.44885,                0.97282,             0.00090546,             0.00090546,             0.00090546
                      6,                0.48084,                0.64527,                 0.3378,                0.84373,                0.96903,                0.91257,                0.96271,                0.81592,                 0.9624,                0.90641,                0.95087,                0.69466,                0.65594,                   1.84,                0.49144,                0.94679,             0.00085502,             0.00085502,             0.00085502
                      7,                0.45231,                0.64986,                0.32023,                 0.8339,                0.95418,                0.91696,                0.97113,                0.82939,                0.95043,                0.90975,                0.96266,                0.71342,                 0.6434,                 1.3377,                 0.5149,                 0.9581,             0.00079595,             0.00079595,             0.00079595
                      8,                0.42295,                0.59939,                 0.3016,                0.82524,                0.97734,                0.92844,                0.97723,                  0.824,                0.97044,                0.92325,                0.96767,                0.70346,                 0.6319,                 1.4698,                0.40891,                 0.9613,             0.00072973,             0.00072973,             0.00072973
                      9,                0.39803,                0.57117,                0.28536,                0.81938,                0.96808,                0.96178,                0.98428,                0.85068,                 0.9562,                0.94991,                0.96955,                 0.7194,                0.59378,                 1.5357,                0.37011,                0.92492,             0.00065796,             0.00065796,             0.00065796
                     10,                0.36449,                0.63366,                0.26072,                0.80767,                0.98575,                0.94202,                0.98173,                 0.8438,                  0.975,                0.93629,                0.97006,                0.72486,                0.59063,                   1.36,                0.38586,                0.93025,             0.00058244,             0.00058244,             0.00058244
                     11,                0.35379,                0.57464,                0.24928,                  0.806,                0.97978,                0.95828,                0.98677,                0.85859,                0.97244,                0.94572,                 0.9739,                0.73929,                0.57849,                 1.4526,                0.35156,                0.93058,               0.000505,               0.000505,               0.000505
                     12,                0.33892,                0.56426,                0.24201,                0.79404,                0.98775,                0.95255,                 0.9839,                0.86068,                0.98092,                0.94596,                0.97371,                0.74929,                0.58478,                 1.3842,                0.36505,                0.92824,             0.00042756,             0.00042756,             0.00042756
                     13,                0.32008,                0.55938,                0.22624,                0.79438,                0.98351,                0.96046,                0.98829,                0.86927,                0.97677,                0.95387,                0.97921,                0.74687,                0.55883,                 1.3857,                0.33334,                 0.9148,             0.00035204,             0.00035204,             0.00035204
                     14,                0.29797,                0.49074,                0.21139,                 0.7921,                0.98081,                0.96555,                0.99041,                0.87944,                0.97189,                0.95711,                0.98116,                0.75934,                0.55753,                 1.4508,                0.32038,                0.91413,             0.00028027,             0.00028027,             0.00028027
                     15,                0.28977,                0.49302,                0.20359,                0.78957,                0.98558,                0.96749,                0.98928,                0.88228,                0.97842,                0.96046,                0.98064,                0.76058,                0.55183,                 1.4924,                0.31144,                  0.917,             0.00021405,             0.00021405,             0.00021405
                     16,                0.27151,                0.50215,                0.19223,                0.78396,                0.98574,                0.97196,                0.99072,                0.88525,                0.98164,                0.96314,                0.98352,                0.76612,                0.55486,                 1.5074,                0.30477,                0.92021,             0.00015498,             0.00015498,             0.00015498
                     17,                0.25702,                0.50804,                0.18323,                0.77919,                0.98725,                0.96661,                0.99116,                0.88648,                0.97911,                 0.9587,                0.98179,                0.76834,                0.55266,                 1.5438,                0.31154,                0.91419,             0.00010454,             0.00010454,             0.00010454
                     18,                0.25817,                 0.4597,                0.17666,                0.78072,                0.99243,                0.96178,                 0.9909,                0.88568,                 0.9879,                0.95738,                0.98389,                 0.7656,                0.54555,                 1.5637,                0.29487,                 0.9166,             6.3952e-05,             6.3952e-05,             6.3952e-05
                     19,                 0.2361,                0.44878,                0.16838,                0.77806,                0.98656,                0.96735,                0.99141,                0.88922,                0.97894,                0.95988,                0.98286,                0.76765,                0.54538,                 1.6434,                0.29412,                0.91272,             3.4227e-05,             3.4227e-05,             3.4227e-05
